tool	rank	metric	sample	value
Gold standard	strain	Completeness	0	1.0
Gold standard	strain	Purity	0	1.0
Gold standard	strain	F1 score	0	1.0
Gold standard	strain	Jaccard index	0	1.0
Gold standard	strain	Taxon counts	0	138.0
Gold standard	superkingdom	L1 norm error	0	0.0
Gold standard	phylum	L1 norm error	0	0.0
Gold standard	class	L1 norm error	0	0.0
Gold standard	order	L1 norm error	0	0.0
Gold standard	family	L1 norm error	0	0.0
Gold standard	genus	L1 norm error	0	0.0
Gold standard	species	L1 norm error	0	0.0
Gold standard	strain	L1 norm error	0	0.0
Gold standard	na	Weighted UniFrac error	0	0.0
Gold standard	na	Unweighted UniFrac error	0	0.0
Gold standard	superkingdom	Bray-Curtis distance	1	0.0
Gold standard	phylum	Bray-Curtis distance	1	0.0
Gold standard	class	Bray-Curtis distance	1	0.0
Gold standard	order	Bray-Curtis distance	1	0.0
Gold standard	family	Bray-Curtis distance	1	0.0
Gold standard	genus	Bray-Curtis distance	1	0.0
Gold standard	species	Bray-Curtis distance	1	0.0
Gold standard	strain	Bray-Curtis distance	1	0.0
Gold standard	superkingdom	Shannon diversity	1	0.05618525844721492
Gold standard	superkingdom	Shannon equitability	1	0.0810581937328617
Gold standard	phylum	Shannon diversity	1	0.8360257206066909
Gold standard	phylum	Shannon equitability	1	0.4020433870582984
Gold standard	class	Shannon diversity	1	1.4744694854221163
Gold standard	class	Shannon equitability	1	0.5587106687208935
Gold standard	order	Shannon diversity	1	1.9015538809365211
Gold standard	order	Shannon equitability	1	0.543843777686265
Gold standard	family	Shannon diversity	1	2.2063876980389323
Gold standard	family	Shannon equitability	1	0.5640017185424137
Gold standard	genus	Shannon diversity	1	2.1283646768174496
Gold standard	genus	Shannon equitability	1	0.4885258027295502
Gold standard	species	Shannon diversity	1	1.991223705905805
Gold standard	species	Shannon equitability	1	0.44587207192827083
Gold standard	strain	Shannon diversity	1	2.951824939181178
Gold standard	strain	Shannon equitability	1	0.5982045865846501
Gold standard	superkingdom	True positives	1	2.0
Gold standard	superkingdom	False negatives	1	0.0
Gold standard	superkingdom	False positives	1	0.0
Gold standard	superkingdom	Completeness	1	1.0
Gold standard	superkingdom	Purity	1	1.0
Gold standard	superkingdom	F1 score	1	1.0
Gold standard	superkingdom	Jaccard index	1	1.0
Gold standard	superkingdom	Taxon counts	1	2.0
Gold standard	phylum	True positives	1	8.0
Gold standard	phylum	False negatives	1	0.0
Gold standard	phylum	False positives	1	0.0
Gold standard	phylum	Completeness	1	1.0
Gold standard	phylum	Purity	1	1.0
Gold standard	phylum	F1 score	1	1.0
Gold standard	phylum	Jaccard index	1	1.0
Gold standard	phylum	Taxon counts	1	8.0
Gold standard	class	True positives	1	14.0
Gold standard	class	False negatives	1	0.0
Gold standard	class	False positives	1	0.0
Gold standard	class	Completeness	1	1.0
Gold standard	class	Purity	1	1.0
Gold standard	class	F1 score	1	1.0
Gold standard	class	Jaccard index	1	1.0
Gold standard	class	Taxon counts	1	14.0
Gold standard	order	True positives	1	33.0
Gold standard	order	False negatives	1	0.0
Gold standard	order	False positives	1	0.0
Gold standard	order	Completeness	1	1.0
Gold standard	order	Purity	1	1.0
Gold standard	order	F1 score	1	1.0
Gold standard	order	Jaccard index	1	1.0
Gold standard	order	Taxon counts	1	33.0
Gold standard	family	True positives	1	50.0
Gold standard	family	False negatives	1	0.0
Gold standard	family	False positives	1	0.0
Gold standard	family	Completeness	1	1.0
Gold standard	family	Purity	1	1.0
Gold standard	family	F1 score	1	1.0
Gold standard	family	Jaccard index	1	1.0
Gold standard	family	Taxon counts	1	50.0
Gold standard	genus	True positives	1	78.0
Gold standard	genus	False negatives	1	0.0
Gold standard	genus	False positives	1	0.0
Gold standard	genus	Completeness	1	1.0
Gold standard	genus	Purity	1	1.0
Gold standard	genus	F1 score	1	1.0
Gold standard	genus	Jaccard index	1	1.0
Gold standard	genus	Taxon counts	1	78.0
Gold standard	species	True positives	1	87.0
Gold standard	species	False negatives	1	0.0
Gold standard	species	False positives	1	0.0
Gold standard	species	Completeness	1	1.0
Gold standard	species	Purity	1	1.0
Gold standard	species	F1 score	1	1.0
Gold standard	species	Jaccard index	1	1.0
Gold standard	species	Taxon counts	1	87.0
Gold standard	strain	True positives	1	139.0
Gold standard	strain	False negatives	1	0.0
Gold standard	strain	False positives	1	0.0
Gold standard	strain	Completeness	1	1.0
Gold standard	strain	Purity	1	1.0
Gold standard	strain	F1 score	1	1.0
Gold standard	strain	Jaccard index	1	1.0
Gold standard	strain	Taxon counts	1	139.0
Gold standard	superkingdom	L1 norm error	1	0.0
Gold standard	phylum	L1 norm error	1	0.0
Gold standard	class	L1 norm error	1	0.0
Gold standard	order	L1 norm error	1	0.0
Gold standard	family	L1 norm error	1	0.0
Gold standard	genus	L1 norm error	1	0.0
Gold standard	species	L1 norm error	1	0.0
Gold standard	strain	L1 norm error	1	0.0
Gold standard	na	Weighted UniFrac error	1	0.0
Gold standard	na	Unweighted UniFrac error	1	0.0
Gold standard	superkingdom	Bray-Curtis distance	2	0.0
Gold standard	phylum	Bray-Curtis distance	2	0.0
Gold standard	class	Bray-Curtis distance	2	0.0
Gold standard	order	Bray-Curtis distance	2	0.0
Gold standard	family	Bray-Curtis distance	2	0.0
Gold standard	genus	Bray-Curtis distance	2	0.0
Gold standard	species	Bray-Curtis distance	2	0.0
Gold standard	strain	Bray-Curtis distance	2	0.0
Gold standard	superkingdom	Shannon diversity	2	0.055218896126548025
Gold standard	superkingdom	Shannon equitability	2	0.07966402760513364
Gold standard	phylum	Shannon diversity	2	0.4950793654878492
Gold standard	phylum	Shannon equitability	2	0.27630905486501744
Gold standard	class	Shannon diversity	2	1.3425245109021677
Gold standard	class	Shannon equitability	2	0.5402716077952888
Gold standard	order	Shannon diversity	2	1.6326731235728282
Gold standard	order	Shannon equitability	2	0.49537437377845134
Gold standard	family	Shannon diversity	2	1.9914922209865522
Gold standard	family	Shannon equitability	2	0.5328165473066081
Gold standard	genus	Shannon diversity	2	1.9421124627647222
Gold standard	genus	Shannon equitability	2	0.4602699173608134
Gold standard	species	Shannon diversity	2	1.7657025743171486
Gold standard	species	Shannon equitability	2	0.4115416072653837
Gold standard	strain	Shannon diversity	2	2.9142851286066986
Gold standard	strain	Shannon equitability	2	0.6066345466578851
Gold standard	superkingdom	True positives	2	2.0
Gold standard	superkingdom	False negatives	2	0.0
Gold standard	superkingdom	False positives	2	0.0
Gold standard	superkingdom	Completeness	2	1.0
Gold standard	superkingdom	Purity	2	1.0
Gold standard	superkingdom	F1 score	2	1.0
Gold standard	superkingdom	Jaccard index	2	1.0
Gold standard	superkingdom	Taxon counts	2	2.0
Gold standard	phylum	True positives	2	6.0
Gold standard	phylum	False negatives	2	0.0
Gold standard	phylum	False positives	2	0.0
Gold standard	phylum	Completeness	2	1.0
Gold standard	phylum	Purity	2	1.0
Gold standard	phylum	F1 score	2	1.0
Gold standard	phylum	Jaccard index	2	1.0
Gold standard	phylum	Taxon counts	2	6.0
Gold standard	class	True positives	2	12.0
Gold standard	class	False negatives	2	0.0
Gold standard	class	False positives	2	0.0
Gold standard	class	Completeness	2	1.0
Gold standard	class	Purity	2	1.0
Gold standard	class	F1 score	2	1.0
Gold standard	class	Jaccard index	2	1.0
Gold standard	class	Taxon counts	2	12.0
Gold standard	order	True positives	2	27.0
Gold standard	order	False negatives	2	0.0
Gold standard	order	False positives	2	0.0
Gold standard	order	Completeness	2	1.0
Gold standard	order	Purity	2	1.0
Gold standard	order	F1 score	2	1.0
Gold standard	order	Jaccard index	2	1.0
Gold standard	order	Taxon counts	2	27.0
Gold standard	family	True positives	2	42.0
Gold standard	family	False negatives	2	0.0
Gold standard	family	False positives	2	0.0
Gold standard	family	Completeness	2	1.0
Gold standard	family	Purity	2	1.0
Gold standard	family	F1 score	2	1.0
Gold standard	family	Jaccard index	2	1.0
Gold standard	family	Taxon counts	2	42.0
Gold standard	genus	True positives	2	68.0
Gold standard	genus	False negatives	2	0.0
Gold standard	genus	False positives	2	0.0
Gold standard	genus	Completeness	2	1.0
Gold standard	genus	Purity	2	1.0
Gold standard	genus	F1 score	2	1.0
Gold standard	genus	Jaccard index	2	1.0
Gold standard	genus	Taxon counts	2	68.0
Gold standard	species	True positives	2	73.0
Gold standard	species	False negatives	2	0.0
Gold standard	species	False positives	2	0.0
Gold standard	species	Completeness	2	1.0
Gold standard	species	Purity	2	1.0
Gold standard	species	F1 score	2	1.0
Gold standard	species	Jaccard index	2	1.0
Gold standard	species	Taxon counts	2	73.0
Gold standard	strain	True positives	2	122.0
Gold standard	strain	False negatives	2	0.0
Gold standard	strain	False positives	2	0.0
Gold standard	strain	Completeness	2	1.0
Gold standard	strain	Purity	2	1.0
Gold standard	strain	F1 score	2	1.0
Gold standard	strain	Jaccard index	2	1.0
Gold standard	strain	Taxon counts	2	122.0
Gold standard	superkingdom	L1 norm error	2	0.0
Gold standard	phylum	L1 norm error	2	0.0
Gold standard	class	L1 norm error	2	0.0
Gold standard	order	L1 norm error	2	0.0
Gold standard	family	L1 norm error	2	0.0
Gold standard	genus	L1 norm error	2	0.0
Gold standard	species	L1 norm error	2	0.0
Gold standard	strain	L1 norm error	2	0.0
Gold standard	na	Weighted UniFrac error	2	0.0
Gold standard	na	Unweighted UniFrac error	2	0.0
Gold standard	superkingdom	Bray-Curtis distance	3	0.0
Gold standard	phylum	Bray-Curtis distance	3	0.0
Gold standard	class	Bray-Curtis distance	3	0.0
Gold standard	order	Bray-Curtis distance	3	0.0
Gold standard	family	Bray-Curtis distance	3	0.0
Gold standard	genus	Bray-Curtis distance	3	0.0
Gold standard	species	Bray-Curtis distance	3	0.0
Gold standard	strain	Bray-Curtis distance	3	0.0
Gold standard	superkingdom	Shannon diversity	3	0.05623719351306504
Gold standard	superkingdom	Shannon equitability	3	0.051189299530996116
Gold standard	phylum	Shannon diversity	3	0.5239792578437527
Gold standard	phylum	Shannon equitability	3	0.2384732372141008
Gold standard	class	Shannon diversity	3	1.4581650036737477
Gold standard	class	Shannon equitability	3	0.5259218548994883
Gold standard	order	Shannon diversity	3	1.7334132449852484
Gold standard	order	Shannon equitability	3	0.4699023827010937
Gold standard	family	Shannon diversity	3	2.1397902675315854
Gold standard	family	Shannon equitability	3	0.5205195630496177
Gold standard	genus	Shannon diversity	3	2.0084050574916694
Gold standard	genus	Shannon equitability	3	0.44205915612814217
Gold standard	species	Shannon diversity	3	1.7229197197964996
Gold standard	species	Shannon equitability	3	0.3574313442787943
Gold standard	strain	Shannon diversity	3	3.063866487618938
Gold standard	strain	Shannon equitability	3	0.5804850188808918
Gold standard	superkingdom	True positives	3	3.0
Gold standard	superkingdom	False negatives	3	0.0
Gold standard	superkingdom	False positives	3	0.0
Gold standard	superkingdom	Completeness	3	1.0
Gold standard	superkingdom	Purity	3	1.0
Gold standard	superkingdom	F1 score	3	1.0
Gold standard	superkingdom	Jaccard index	3	1.0
Gold standard	superkingdom	Taxon counts	3	3.0
Gold standard	phylum	True positives	3	9.0
Gold standard	phylum	False negatives	3	0.0
Gold standard	phylum	False positives	3	0.0
Gold standard	phylum	Completeness	3	1.0
Gold standard	phylum	Purity	3	1.0
Gold standard	phylum	F1 score	3	1.0
Gold standard	phylum	Jaccard index	3	1.0
Gold standard	phylum	Taxon counts	3	9.0
Gold standard	class	True positives	3	16.0
Gold standard	class	False negatives	3	0.0
Gold standard	class	False positives	3	0.0
Gold standard	class	Completeness	3	1.0
Gold standard	class	Purity	3	1.0
Gold standard	class	F1 score	3	1.0
Gold standard	class	Jaccard index	3	1.0
Gold standard	class	Taxon counts	3	16.0
Gold standard	order	True positives	3	40.0
Gold standard	order	False negatives	3	0.0
Gold standard	order	False positives	3	0.0
Gold standard	order	Completeness	3	1.0
Gold standard	order	Purity	3	1.0
Gold standard	order	F1 score	3	1.0
Gold standard	order	Jaccard index	3	1.0
Gold standard	order	Taxon counts	3	40.0
Gold standard	family	True positives	3	61.0
Gold standard	family	False negatives	3	0.0
Gold standard	family	False positives	3	0.0
Gold standard	family	Completeness	3	1.0
Gold standard	family	Purity	3	1.0
Gold standard	family	F1 score	3	1.0
Gold standard	family	Jaccard index	3	1.0
Gold standard	family	Taxon counts	3	61.0
Gold standard	genus	True positives	3	94.0
Gold standard	genus	False negatives	3	0.0
Gold standard	genus	False positives	3	0.0
Gold standard	genus	Completeness	3	1.0
Gold standard	genus	Purity	3	1.0
Gold standard	genus	F1 score	3	1.0
Gold standard	genus	Jaccard index	3	1.0
Gold standard	genus	Taxon counts	3	94.0
Gold standard	species	True positives	3	124.0
Gold standard	species	False negatives	3	0.0
Gold standard	species	False positives	3	0.0
Gold standard	species	Completeness	3	1.0
Gold standard	species	Purity	3	1.0
Gold standard	species	F1 score	3	1.0
Gold standard	species	Jaccard index	3	1.0
Gold standard	species	Taxon counts	3	124.0
Gold standard	strain	True positives	3	196.0
Gold standard	strain	False negatives	3	0.0
Gold standard	strain	False positives	3	0.0
Gold standard	strain	Completeness	3	1.0
Gold standard	strain	Purity	3	1.0
Gold standard	strain	F1 score	3	1.0
Gold standard	strain	Jaccard index	3	1.0
Gold standard	strain	Taxon counts	3	196.0
Gold standard	superkingdom	L1 norm error	3	0.0
Gold standard	phylum	L1 norm error	3	0.0
Gold standard	class	L1 norm error	3	0.0
Gold standard	order	L1 norm error	3	0.0
Gold standard	family	L1 norm error	3	0.0
Gold standard	genus	L1 norm error	3	0.0
Gold standard	species	L1 norm error	3	0.0
Gold standard	strain	L1 norm error	3	0.0
Gold standard	na	Weighted UniFrac error	3	0.0
Gold standard	na	Unweighted UniFrac error	3	0.0
Gold standard	superkingdom	Bray-Curtis distance	4	0.0
Gold standard	phylum	Bray-Curtis distance	4	0.0
Gold standard	class	Bray-Curtis distance	4	0.0
Gold standard	order	Bray-Curtis distance	4	0.0
Gold standard	family	Bray-Curtis distance	4	0.0
Gold standard	genus	Bray-Curtis distance	4	0.0
Gold standard	species	Bray-Curtis distance	4	0.0
Gold standard	strain	Bray-Curtis distance	4	0.0
Gold standard	superkingdom	Shannon diversity	4	0.056368821560384086
Gold standard	superkingdom	Shannon equitability	4	0.08132301932592101
Gold standard	phylum	Shannon diversity	4	0.7787734517767971
Gold standard	phylum	Shannon equitability	4	0.3544350722314122
Gold standard	class	Shannon diversity	4	1.5591170707026831
Gold standard	class	Shannon equitability	4	0.5204460640446426
Gold standard	order	Shannon diversity	4	1.9654797563859487
Gold standard	order	Shannon equitability	4	0.5328121400643747
Gold standard	family	Shannon diversity	4	2.3371741117630043
Gold standard	family	Shannon equitability	4	0.5708298547532509
Gold standard	genus	Shannon diversity	4	2.186359541847314
Gold standard	genus	Shannon equitability	4	0.4812277535632247
Gold standard	species	Shannon diversity	4	1.8662141599974966
Gold standard	species	Shannon equitability	4	0.38913587702677355
Gold standard	strain	Shannon diversity	4	3.1555290954398973
Gold standard	strain	Shannon equitability	4	0.6001962668818918
Gold standard	superkingdom	True positives	4	2.0
Gold standard	superkingdom	False negatives	4	0.0
Gold standard	superkingdom	False positives	4	0.0
Gold standard	superkingdom	Completeness	4	1.0
Gold standard	superkingdom	Purity	4	1.0
Gold standard	superkingdom	F1 score	4	1.0
Gold standard	superkingdom	Jaccard index	4	1.0
Gold standard	superkingdom	Taxon counts	4	2.0
Gold standard	phylum	True positives	4	9.0
Gold standard	phylum	False negatives	4	0.0
Gold standard	phylum	False positives	4	0.0
Gold standard	phylum	Completeness	4	1.0
Gold standard	phylum	Purity	4	1.0
Gold standard	phylum	F1 score	4	1.0
Gold standard	phylum	Jaccard index	4	1.0
Gold standard	phylum	Taxon counts	4	9.0
Gold standard	class	True positives	4	20.0
Gold standard	class	False negatives	4	0.0
Gold standard	class	False positives	4	0.0
Gold standard	class	Completeness	4	1.0
Gold standard	class	Purity	4	1.0
Gold standard	class	F1 score	4	1.0
Gold standard	class	Jaccard index	4	1.0
Gold standard	class	Taxon counts	4	20.0
Gold standard	order	True positives	4	40.0
Gold standard	order	False negatives	4	0.0
Gold standard	order	False positives	4	0.0
Gold standard	order	Completeness	4	1.0
Gold standard	order	Purity	4	1.0
Gold standard	order	F1 score	4	1.0
Gold standard	order	Jaccard index	4	1.0
Gold standard	order	Taxon counts	4	40.0
Gold standard	family	True positives	4	60.0
Gold standard	family	False negatives	4	0.0
Gold standard	family	False positives	4	0.0
Gold standard	family	Completeness	4	1.0
Gold standard	family	Purity	4	1.0
Gold standard	family	F1 score	4	1.0
Gold standard	family	Jaccard index	4	1.0
Gold standard	family	Taxon counts	4	60.0
Gold standard	genus	True positives	4	94.0
Gold standard	genus	False negatives	4	0.0
Gold standard	genus	False positives	4	0.0
Gold standard	genus	Completeness	4	1.0
Gold standard	genus	Purity	4	1.0
Gold standard	genus	F1 score	4	1.0
Gold standard	genus	Jaccard index	4	1.0
Gold standard	genus	Taxon counts	4	94.0
Gold standard	species	True positives	4	121.0
Gold standard	species	False negatives	4	0.0
Gold standard	species	False positives	4	0.0
Gold standard	species	Completeness	4	1.0
Gold standard	species	Purity	4	1.0
Gold standard	species	F1 score	4	1.0
Gold standard	species	Jaccard index	4	1.0
Gold standard	species	Taxon counts	4	121.0
Gold standard	strain	True positives	4	192.0
Gold standard	strain	False negatives	4	0.0
Gold standard	strain	False positives	4	0.0
Gold standard	strain	Completeness	4	1.0
Gold standard	strain	Purity	4	1.0
Gold standard	strain	F1 score	4	1.0
Gold standard	strain	Jaccard index	4	1.0
Gold standard	strain	Taxon counts	4	192.0
Gold standard	superkingdom	L1 norm error	4	0.0
Gold standard	phylum	L1 norm error	4	0.0
Gold standard	class	L1 norm error	4	0.0
Gold standard	order	L1 norm error	4	0.0
Gold standard	family	L1 norm error	4	0.0
Gold standard	genus	L1 norm error	4	0.0
Gold standard	species	L1 norm error	4	0.0
Gold standard	strain	L1 norm error	4	0.0
Gold standard	na	Weighted UniFrac error	4	0.0
Gold standard	na	Unweighted UniFrac error	4	0.0
Gold standard	superkingdom	Bray-Curtis distance	5	0.0
Gold standard	phylum	Bray-Curtis distance	5	0.0
Gold standard	class	Bray-Curtis distance	5	0.0
Gold standard	order	Bray-Curtis distance	5	0.0
Gold standard	family	Bray-Curtis distance	5	0.0
Gold standard	genus	Bray-Curtis distance	5	0.0
Gold standard	species	Bray-Curtis distance	5	0.0
Gold standard	strain	Bray-Curtis distance	5	0.0
Gold standard	superkingdom	Shannon diversity	5	0.05641468725988827
Gold standard	superkingdom	Shannon equitability	5	0.08138918954314259
Gold standard	phylum	Shannon diversity	5	0.6369174181823946
Gold standard	phylum	Shannon equitability	5	0.3273108054303539
Gold standard	class	Shannon diversity	5	1.484590432574754
Gold standard	class	Shannon equitability	5	0.5625457302176868
Gold standard	order	Shannon diversity	5	1.7221460748965145
Gold standard	order	Shannon equitability	5	0.496906320387919
Gold standard	family	Shannon diversity	5	2.0377421930940476
Gold standard	family	Shannon equitability	5	0.5182687085953287
Gold standard	genus	Shannon diversity	5	1.8964509801432916
Gold standard	genus	Shannon equitability	5	0.4340253149085054
Gold standard	species	Shannon diversity	5	1.7387565685533757
Gold standard	species	Shannon equitability	5	0.38546014701663617
Gold standard	strain	Shannon diversity	5	2.874544754954394
Gold standard	strain	Shannon equitability	5	0.5663933610167312
Gold standard	superkingdom	True positives	5	2.0
Gold standard	superkingdom	False negatives	5	0.0
Gold standard	superkingdom	False positives	5	0.0
Gold standard	superkingdom	Completeness	5	1.0
Gold standard	superkingdom	Purity	5	1.0
Gold standard	superkingdom	F1 score	5	1.0
Gold standard	superkingdom	Jaccard index	5	1.0
Gold standard	superkingdom	Taxon counts	5	2.0
Gold standard	phylum	True positives	5	7.0
Gold standard	phylum	False negatives	5	0.0
Gold standard	phylum	False positives	5	0.0
Gold standard	phylum	Completeness	5	1.0
Gold standard	phylum	Purity	5	1.0
Gold standard	phylum	F1 score	5	1.0
Gold standard	phylum	Jaccard index	5	1.0
Gold standard	phylum	Taxon counts	5	7.0
Gold standard	class	True positives	5	14.0
Gold standard	class	False negatives	5	0.0
Gold standard	class	False positives	5	0.0
Gold standard	class	Completeness	5	1.0
Gold standard	class	Purity	5	1.0
Gold standard	class	F1 score	5	1.0
Gold standard	class	Jaccard index	5	1.0
Gold standard	class	Taxon counts	5	14.0
Gold standard	order	True positives	5	32.0
Gold standard	order	False negatives	5	0.0
Gold standard	order	False positives	5	0.0
Gold standard	order	Completeness	5	1.0
Gold standard	order	Purity	5	1.0
Gold standard	order	F1 score	5	1.0
Gold standard	order	Jaccard index	5	1.0
Gold standard	order	Taxon counts	5	32.0
Gold standard	family	True positives	5	51.0
Gold standard	family	False negatives	5	0.0
Gold standard	family	False positives	5	0.0
Gold standard	family	Completeness	5	1.0
Gold standard	family	Purity	5	1.0
Gold standard	family	F1 score	5	1.0
Gold standard	family	Jaccard index	5	1.0
Gold standard	family	Taxon counts	5	51.0
Gold standard	genus	True positives	5	79.0
Gold standard	genus	False negatives	5	0.0
Gold standard	genus	False positives	5	0.0
Gold standard	genus	Completeness	5	1.0
Gold standard	genus	Purity	5	1.0
Gold standard	genus	F1 score	5	1.0
Gold standard	genus	Jaccard index	5	1.0
Gold standard	genus	Taxon counts	5	79.0
Gold standard	species	True positives	5	91.0
Gold standard	species	False negatives	5	0.0
Gold standard	species	False positives	5	0.0
Gold standard	species	Completeness	5	1.0
Gold standard	species	Purity	5	1.0
Gold standard	species	F1 score	5	1.0
Gold standard	species	Jaccard index	5	1.0
Gold standard	species	Taxon counts	5	91.0
Gold standard	strain	True positives	5	160.0
Gold standard	strain	False negatives	5	0.0
Gold standard	strain	False positives	5	0.0
Gold standard	strain	Completeness	5	1.0
Gold standard	strain	Purity	5	1.0
Gold standard	strain	F1 score	5	1.0
Gold standard	strain	Jaccard index	5	1.0
Gold standard	strain	Taxon counts	5	160.0
Gold standard	superkingdom	L1 norm error	5	0.0
Gold standard	phylum	L1 norm error	5	0.0
Gold standard	class	L1 norm error	5	0.0
Gold standard	order	L1 norm error	5	0.0
Gold standard	family	L1 norm error	5	0.0
Gold standard	genus	L1 norm error	5	0.0
Gold standard	species	L1 norm error	5	0.0
Gold standard	strain	L1 norm error	5	0.0
Gold standard	na	Weighted UniFrac error	5	0.0
Gold standard	na	Unweighted UniFrac error	5	0.0
Gold standard	superkingdom	Bray-Curtis distance	6	0.0
Gold standard	phylum	Bray-Curtis distance	6	0.0
Gold standard	class	Bray-Curtis distance	6	0.0
Gold standard	order	Bray-Curtis distance	6	0.0
Gold standard	family	Bray-Curtis distance	6	0.0
Gold standard	genus	Bray-Curtis distance	6	0.0
Gold standard	species	Bray-Curtis distance	6	0.0
Gold standard	strain	Bray-Curtis distance	6	0.0
Gold standard	superkingdom	Shannon diversity	6	0.05508577086402876
Gold standard	superkingdom	Shannon equitability	6	0.0501412294694167
Gold standard	phylum	Shannon diversity	6	0.876400936021631
Gold standard	phylum	Shannon equitability	6	0.38061609044903916
Gold standard	class	Shannon diversity	6	1.538509396018036
Gold standard	class	Shannon equitability	6	0.5322877210569902
Gold standard	order	Shannon diversity	6	1.6353311916958837
Gold standard	order	Shannon equitability	6	0.44331380627581063
Gold standard	family	Shannon diversity	6	1.8879368784655286
Gold standard	family	Shannon equitability	6	0.46110845088252644
Gold standard	genus	Shannon diversity	6	1.9821470033243134
Gold standard	genus	Shannon equitability	6	0.4415922431788785
Gold standard	species	Shannon diversity	6	2.0450753092253096
Gold standard	species	Shannon equitability	6	0.43765251877898237
Gold standard	strain	Shannon diversity	6	2.862878196231169
Gold standard	strain	Shannon equitability	6	0.5472794403478835
Gold standard	superkingdom	True positives	6	3.0
Gold standard	superkingdom	False negatives	6	0.0
Gold standard	superkingdom	False positives	6	0.0
Gold standard	superkingdom	Completeness	6	1.0
Gold standard	superkingdom	Purity	6	1.0
Gold standard	superkingdom	F1 score	6	1.0
Gold standard	superkingdom	Jaccard index	6	1.0
Gold standard	superkingdom	Taxon counts	6	3.0
Gold standard	phylum	True positives	6	10.0
Gold standard	phylum	False negatives	6	0.0
Gold standard	phylum	False positives	6	0.0
Gold standard	phylum	Completeness	6	1.0
Gold standard	phylum	Purity	6	1.0
